Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
1996,34,Algeria,2,0,1,3,Algeria,Algeria,Algeria,1474.0,28470191.0,16274494.0
1996,37,Belarus,1,6,8,15,Belarus,Belarus,Belarus,1369.0,10193831.0,6700380.0
1996,39,Jamaica,1,3,2,6,Jamaica,Jamaica,Jamaica,2621.0,2500151.0,1457214.0
1996,40,Finland,1,2,1,4,Finland,Finland,Finland,26270.0,5107790.0,3409669.0
1996,41,Indonesia,1,1,2,4,Indonesia,Indonesia,Indonesia,1188.0,199888057.0,124515992.0
1996,71,Mozambique,0,0,1,1,Mozambique,Mozambique,Mozambique,196.0,15960530.0,8316221.0
1996,71,Mongolia,0,0,1,1,Mongolia,Mongolia,Mongolia,739.0,2224945.0,1280283.0
1996,23,Japan,3,6,5,14,Japan,Japan,Japan,44211.0,125472000.0,87457274.0
1996,24,Kazakhstan,3,4,4,11,Kazakhstan,Kazakhstan,Kazakhstan,1251.0,16730536.0,10531684.0
1996,22,Bulgaria,3,7,5,15,Bulgaria,Bulgaria,Bulgaria,2240.0,8406067.0,5632322.0
1996,21,Canada,3,11,8,22,Canada,Canada,Canada,20688.0,29302311.0,19816807.0
1996,19,Denmark,4,1,1,6,Denmark,Denmark,Denmark,35339.0,5233373.0,3525949.0
1996,18,Switzerland,4,3,0,7,Switzerland,Switzerland,Switzerland,50132.0,7040687.0,4760577.0
1996,71,Uganda,0,0,1,1,Uganda,Uganda,Uganda,346.0,20665667.0,9934321.0
1996,71,Tunisia,0,0,1,1,Tunisia,Tunisia,Tunisia,2130.0,9161258.0,5591790.0
1996,68,Georgia,0,0,2,2,Georgia,Georgia,Georgia,583.0,4657722.0,2995005.0
1996,68,Trinidad and Tobago,0,0,2,2,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,4301.0,1295169.0,836353.0
1996,68,Morocco,0,0,2,2,Morocco,Morocco,Morocco,1456.0,26399429.0,15635638.0
1996,71,Mexico,0,0,1,1,Mexico,Mexico,Mexico,4225.0,90862455.0,53682751.0
1996,71,Lithuania,0,0,1,1,Lithuania,Lithuania,Lithuania,1788.0,3629102.0,2392434.0
1996,9,Ukraine,9,2,12,23,Ukraine,Ukraine,Ukraine,987.0,51665539.0,34140299.0
1996,71,Israel,0,0,1,1,Israel,Israel,Israel,19221.0,5545000.0,3368248.0
