Year,Rank,NOC,Gold,Silver,Bronze,Total,Country_x,Country_Mapped,Country_y,GDP_Per_Capita,Total_Population,Active_Population_Total
2008,31,Thailand,2,2,2,6,Thailand,Thailand,Thailand,4996.0,68579447.0,48884392.0
2008,30,Denmark,2,2,3,7,Denmark,Denmark,Denmark,58008.0,5547683.0,3630980.0
2008,29,Kazakhstan,2,3,4,9,Kazakhstan,Kazakhstan,Kazakhstan,8904.0,16836810.0,11469881.0
2008,17,Ethiopia,4,2,1,7,Ethiopia,Ethiopia,Ethiopia,295.0,90538514.0,46669637.0
2008,14,Spain,5,11,3,19,Spain,Spain,Spain,30505.0,46576897.0,31758916.0
2008,19,Cuba,3,10,17,30,Cuba,Cuba,Cuba,5698.0,11297409.0,7867466.0
2008,20,Canada,3,9,8,20,Canada,Canada,Canada,47618.0,34005902.0,23575491.0
2008,24,Belarus,3,4,7,14,Belarus,Belarus,Belarus,5881.0,9483836.0,6753098.0
2008,23,Brazil,3,4,10,17,Brazil,Brazil,Brazil,11249.0,193701929.0,132928646.0
2008,22,Norway,3,5,1,9,Norway,Norway,Norway,88154.0,4889252.0,3237094.0
2008,21,Hungary,3,5,2,10,Hungary,Hungary,Hungary,13235.0,10000023.0,6880082.0
2008,13,Kenya,6,4,6,16,Kenya,Kenya,Kenya,1094.0,41598567.0,22580905.0
2008,12,Ukraine,7,4,11,22,Ukraine,Ukraine,Ukraine,2977.0,46456003.0,32978593.0
2008,15,Jamaica,5,4,2,11,Jamaica,Jamaica,Jamaica,4836.0,2748568.0,1843404.0
2008,16,Poland,4,5,2,11,Poland,Poland,Poland,12325.0,38042794.0,27145750.0
2008,72,Chile,0,1,0,1,Chile,Chile,Chile,12852.0,17181464.0,11762321.0
2008,68,Tajikistan,0,1,1,2,Tajikistan,Tajikistan,Tajikistan,740.0,7652141.0,4591141.0
2008,68,Algeria,0,1,1,2,Algeria,Algeria,Algeria,4496.0,36188236.0,24480684.0
2008,64,Serbia,0,1,2,3,Serbia,Serbia,Serbia,5464.0,7291436.0,4970062.0
2008,1,China,48,22,30,100,China,China,China,4515.0,1337705000.0,974711775.0
2008,9,Italy,8,9,10,27,Italy,Italy,Italy,35673.0,59819407.0,39184696.0
2008,72,Singapore,0,1,0,1,Singapore,Singapore,Singapore,46442.0,5076732.0,3986722.0
2008,72,South Africa,0,1,0,1,South Africa,South Africa,South Africa,8060.0,52344051.0,34206540.0
2008,72,Sudan,0,1,0,1,Sudan,Sudan,Sudan,1622.0,35414399.0,18698948.0
2008,72,Vietnam,0,1,0,1,Vietnam,Viet Nam,Viet Nam,1684.0,87455152.0,60667277.0
2008,68,Morocco,0,1,1,2,Morocco,Morocco,Morocco,2970.0,32467016.0,21309103.0
2008,72,Ecuador,0,1,0,1,Ecuador,Ecuador,Ecuador,4640.0,15076695.0,9471852.0
2008,82,Israel,0,0,1,1,Israel,Israel,Israel,32601.0,7623600.0,4736585.0
2008,82,Mauritius,0,0,1,1,Mauritius,Mauritius,Mauritius,7795.0,1250400.0,896752.0
2008,82,Togo,0,0,1,1,Togo,Togo,Togo,722.0,6732590.0,3748632.0
2008,72,Iceland,0,1,0,1,Iceland,Iceland,Iceland,43197.0,318041.0,212881.0
2008,57,Nigeria,0,3,2,5,Nigeria,Nigeria,Nigeria,2258.0,166642886.0,87598442.0
2008,47,Trinidad and Tobago,1,1,0,2,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,16667.0,1317714.0,968123.0
2008,64,Ireland,0,1,2,3,Ireland,Ireland,Ireland,48998.0,4560155.0,3079628.0
2008,62,Armenia,0,1,4,5,Armenia,Armenia,Armenia,3352.0,3044800.0,2130464.0
2008,63,Uzbekistan,0,1,3,4,Uzbekistan,Uzbekistan,Uzbekistan,1748.0,28385506.0,18809111.0
2008,64,Austria,0,1,2,3,Austria,Austria,Austria,46861.0,8363404.0,5646956.0
2008,57,Lithuania,0,3,2,5,Lithuania,Lithuania,Lithuania,11831.0,3097282.0,2089675.0
2008,42,Bulgaria,1,1,3,5,Bulgaria,Bulgaria,Bulgaria,6676.0,7395599.0,5058285.0
2008,59,Croatia,0,2,3,5,Croatia,Croatia,Croatia,13918.0,4295427.0,2870587.0
2008,60,Colombia,0,2,1,3,Colombia,Colombia,Colombia,6394.0,44777319.0,29865872.0
2008,34,Switzerland,2,1,4,7,Switzerland,Switzerland,Switzerland,76556.0,7824909.0,5322134.0
2008,47,Dominican Republic,1,1,0,2,Dominican Republic,Dominican Republic,Dominican Republic,5438.0,9820175.0,6291564.0
2008,46,Latvia,1,1,1,3,Latvia,Latvia,Latvia,11403.0,2097555.0,1417281.0
2008,47,Estonia,1,1,0,2,Estonia,Estonia,Estonia,14671.0,1331475.0,896398.0
2008,40,Indonesia,1,1,4,6,Indonesia,Indonesia,Indonesia,3094.0,246305322.0,163044947.0
2008,38,Zimbabwe,1,3,0,4,Zimbabwe,Zimbabwe,Zimbabwe,938.0,13356548.0,7193677.0
2008,44,Finland,1,1,2,4,Finland,Finland,Finland,46461.0,5363352.0,3549654.0
2008,53,Tunisia,1,0,0,1,Tunisia,Tunisia,Tunisia,4043.0,10765980.0,7461528.0
2008,56,Sweden,0,4,1,5,Sweden,Sweden,Sweden,52849.0,9378126.0,6106870.0
2008,53,Panama,1,0,0,1,Panama,Panama,Panama,8204.0,3628535.0,2341311.0
2008,47,Portugal,1,1,0,2,Portugal,Portugal,Portugal,22466.0,10573100.0,7009452.0
2008,51,India,1,0,2,3,India,India,India,1346.0,1243481564.0,792311454.0
2008,53,Cameroon,1,0,0,1,Cameroon,Cameroon,Cameroon,1382.0,19668066.0,10481253.0
2008,60,Greece,0,2,1,3,Greece,Greece,Greece,26902.0,11121341.0,7363315.0
2012,42,Trinidad and Tobago,1,1,2,4,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,16667.0,1317714.0,968123.0
2012,42,Slovenia,1,1,2,4,Slovenia,Slovenia,Slovenia,23410.0,2048583.0,1423651.0
2012,42,Serbia,1,1,2,4,Serbia,Serbia,Serbia,5464.0,7291436.0,4970062.0
2012,42,Argentina,1,1,2,4,Argentina,Argentina,Argentina,10377.0,41288694.0,26390623.0
2012,6,Germany,11,20,13,44,Germany,Germany,Germany,41763.0,81776930.0,53759044.0
2012,40,Georgia,1,2,3,6,Georgia,Georgia,Georgia,3191.0,3786695.0,2563390.0
2012,48,Latvia,1,0,1,2,Latvia,Latvia,Latvia,11403.0,2097555.0,1417281.0
2012,32,Azerbaijan,2,2,5,9,Azerbaijan,Azerbaijan,Azerbaijan,5727.0,9054332.0,6501079.0
2012,47,Dominican Republic,1,1,0,2,Dominican Republic,Dominican Republic,Dominican Republic,5438.0,9820175.0,6291564.0
2012,10,Hungary,8,4,6,18,Hungary,Hungary,Hungary,13235.0,10000023.0,6880082.0
2012,11,Japan,7,14,17,38,Japan,Japan,Japan,44956.0,128070000.0,81364210.0
2012,14,New Zealand,6,2,5,13,New Zealand,New Zealand,New Zealand,33711.0,4350700.0,2878163.0
2012,25,Ethiopia,3,2,3,8,Ethiopia,Ethiopia,Ethiopia,295.0,90538514.0,46669637.0
2012,70,Gabon,0,1,0,1,Gabon,Gabon,Gabon,8391.0,1719879.0,1004904.0
2012,79,Vietnam,0,0,1,1,Vietnam,Viet Nam,Viet Nam,1684.0,87455152.0,60667277.0
2012,70,Botswana,0,1,0,1,Botswana,Botswana,Botswana,6042.0,2033111.0,1271227.0
2012,70,Cyprus,0,1,0,1,Cyprus,Cyprus,Cyprus,31075.0,1127816.0,808588.0
2012,59,Thailand,0,2,2,4,Thailand,Thailand,Thailand,4996.0,68579447.0,48884392.0
2012,57,India,0,2,4,6,India,India,India,1346.0,1243481564.0,792311454.0
2012,58,Mongolia,0,2,3,5,Mongolia,Mongolia,Mongolia,2660.0,2738622.0,1869432.0
2012,65,Malaysia,0,1,1,2,Malaysia,Malaysia,Malaysia,8880.0,28655776.0,19231028.0
2012,65,Qatar,0,1,1,2,Qatar,Qatar,Qatar,73021.0,1616832.0,1378341.0
2012,50,Uganda,1,0,0,1,Uganda,Uganda,Uganda,949.0,32390802.0,15726955.0
2012,50,Grenada,1,0,0,1,Grenada,Grenada,Grenada,6761.0,111586.0,74047.0
2012,50,Bahrain,1,0,0,1,Bahrain,Bahrain,Bahrain,21187.0,1228543.0,951725.0
2012,77,Greece,0,0,2,2,Greece,Greece,Greece,26902.0,11121341.0,7363315.0
2012,79,Afghanistan,0,0,1,1,Afghanistan,Afghanistan,Afghanistan,537.0,28284089.0,13923141.0
2012,60,Bulgaria,0,2,1,3,Bulgaria,Bulgaria,Bulgaria,6676.0,7395599.0,5058285.0
2012,60,Finland,0,2,1,3,Finland,Finland,Finland,46461.0,5363352.0,3549654.0
2012,77,Singapore,0,0,2,2,Singapore,Singapore,Singapore,46442.0,5076732.0,3986722.0
2012,70,Guatemala,0,1,0,1,Guatemala,Guatemala,Guatemala,2797.0,14500112.0,8239254.0
2012,64,Belgium,0,1,2,3,Belgium,Belgium,Belgium,44213.0,10895586.0,7184817.0
2012,79,Cameroon,0,0,1,1,Cameroon,Cameroon,Cameroon,1382.0,19668066.0,10481253.0
2012,7,France,11,11,13,35,France,France,France,40926.0,65026211.0,42063238.0
2012,26,Croatia,3,1,2,6,Croatia,Croatia,Croatia,13918.0,4295427.0,2870587.0
2012,79,Kuwait,0,0,1,1,Kuwait,Kuwait,Kuwait,39212.0,2943372.0,2213073.0
2012,39,Mexico,1,3,4,8,Mexico,Mexico,Mexico,9823.0,113623895.0,72867533.0
2012,79,Morocco,0,0,1,1,Morocco,Morocco,Morocco,2970.0,32467016.0,21309103.0
2012,79,Saudi Arabia,0,0,1,1,Saudi Arabia,Saudi Arabia,Saudi Arabia,17959.0,23978487.0,16779841.0
2012,79,Tajikistan,0,0,1,1,Tajikistan,Tajikistan,Tajikistan,740.0,7652141.0,4591141.0
2012,34,Norway,2,1,1,4,Norway,Norway,Norway,88154.0,4889252.0,3237094.0
2012,28,Belarus,2,5,3,10,Belarus,Belarus,Belarus,5881.0,9483836.0,6753098.0
2012,29,Kenya,2,4,7,13,Kenya,Kenya,Kenya,1094.0,41598567.0,22580905.0
2012,30,Denmark,2,4,3,9,Denmark,Denmark,Denmark,58008.0,5547683.0,3630980.0
2012,27,Canada,2,6,10,18,Canada,Canada,Canada,47618.0,34005902.0,23575491.0
2012,23,Poland,3,2,6,11,Poland,Poland,Poland,12325.0,38042794.0,27145750.0
2012,41,Ireland,1,1,4,6,Ireland,Ireland,Ireland,48998.0,4560155.0,3079628.0
2012,35,Lithuania,2,0,3,5,Lithuania,Lithuania,Lithuania,11831.0,3097282.0,2089675.0
2012,8,Australia,8,15,12,35,Australia,Australia,Australia,59100.0,22031750.0,14849809.0
2012,36,Tunisia,2,0,1,3,Tunisia,Tunisia,Tunisia,4043.0,10765980.0,7461528.0
2012,37,Sweden,1,4,3,8,Sweden,Sweden,Sweden,52849.0,9378126.0,6106870.0
2012,38,Colombia,1,3,5,9,Colombia,Colombia,Colombia,6394.0,44777319.0,29865872.0
2012,70,Montenegro,0,1,0,1,Montenegro,Montenegro,Montenegro,6559.0,619428.0,417838.0
2012,70,Portugal,0,1,0,1,Portugal,Portugal,Portugal,22466.0,10573100.0,7009452.0
2012,76,Uzbekistan,0,0,3,3,Uzbekistan,Uzbekistan,Uzbekistan,1748.0,28385506.0,18809111.0
2012,50,Algeria,1,0,0,1,Algeria,Algeria,Algeria,4496.0,36188236.0,24480684.0
2012,2,China,39,31,22,92,China,China,China,4515.0,1337705000.0,974711775.0
2012,22,Brazil,3,5,9,17,Brazil,Brazil,Brazil,11249.0,193701929.0,132928646.0
2012,9,Italy,8,9,11,28,Italy,Italy,Italy,35673.0,59819407.0,39184696.0
2012,23,Kazakhstan,3,2,6,11,Kazakhstan,Kazakhstan,Kazakhstan,8904.0,16836810.0,11469881.0
2012,20,South Africa,4,1,1,6,South Africa,South Africa,South Africa,8060.0,52344051.0,34206540.0
2012,31,Romania,2,4,1,7,Romania,Romania,Romania,8361.0,20246871.0,13851476.0
2012,4,Russia,18,20,26,64,Russia,Russian Federation,Russian Federation,10750.0,142849468.0,103034385.0
2012,3,Great Britain,29,18,18,65,Great Britain,United Kingdom,United Kingdom,39603.0,62766365.0,41364955.0
2012,33,Switzerland,2,2,0,4,Switzerland,Switzerland,Switzerland,76556.0,7824909.0,5322134.0
2012,16,Cuba,5,3,7,15,Cuba,Cuba,Cuba,5698.0,11297409.0,7867466.0
2012,17,Spain,4,10,6,20,Spain,Spain,Spain,30505.0,46576897.0,31758916.0
2012,18,Jamaica,4,5,4,13,Jamaica,Jamaica,Jamaica,4836.0,2748568.0,1843404.0
2012,60,Indonesia,0,2,1,3,Indonesia,Indonesia,Indonesia,3094.0,246305322.0,163044947.0
2012,65,Armenia,0,1,1,2,Armenia,Armenia,Armenia,3352.0,3044800.0,2130464.0
2012,65,Estonia,0,1,1,2,Estonia,Estonia,Estonia,14671.0,1331475.0,896398.0
2012,15,Ukraine,5,4,10,19,Ukraine,Ukraine,Ukraine,2977.0,46456003.0,32978593.0
2016,15,Kenya,6,6,1,13,Kenya,Kenya,Kenya,1497.0,47088526.0,26161395.0
2016,74,Norway,0,0,4,4,Norway,Norway,Norway,74785.0,5188607.0,3411213.0
2016,69,Philippines,0,1,0,1,Philippines,Philippines,Philippines,2974.0,105312992.0,66018180.0
2016,78,United Arab Emirates,0,0,1,1,United Arab Emirates,United Arab Emirates,United Arab Emirates,41525.0,8505237.0,6945735.0
2016,48,Vietnam,1,1,0,2,Vietnam,Viet Nam,Viet Nam,2595.0,92823254.0,64564555.0
2016,38,Georgia,2,1,4,7,Georgia,Georgia,Georgia,3965.0,3725276.0,2474924.0
2016,48,Bahrain,1,1,0,2,Bahrain,Bahrain,Bahrain,22795.0,1370322.0,1053811.0
2016,78,Portugal,0,0,1,1,Portugal,Portugal,Portugal,19229.0,10358076.0,6745903.0
2016,63,Ireland,0,2,0,2,Ireland,Ireland,Ireland,62636.0,4701957.0,3083156.0
2016,78,Nigeria,0,0,1,1,Nigeria,Nigeria,Nigeria,2688.0,190671878.0,100501396.0
2016,78,Morocco,0,0,1,1,Morocco,Morocco,Morocco,3184.0,34607588.0,22886246.0
2016,61,Mexico,0,3,2,5,Mexico,Mexico,Mexico,10098.0,121072306.0,79146660.0
2016,46,Indonesia,1,2,0,3,Indonesia,Indonesia,Indonesia,3323.0,261799249.0,175281115.0
2016,63,Algeria,0,2,0,2,Algeria,Algeria,Algeria,4197.0,40019529.0,26317773.0
2016,7,France,10,18,14,42,France,France,France,36931.0,66548272.0,41861133.0
2016,45,Slovenia,1,2,1,4,Slovenia,Slovenia,Slovenia,20708.0,2063531.0,1385826.0
2016,9,Italy,8,12,8,28,Italy,Italy,Italy,30480.0,60229605.0,38706320.0
2016,5,Germany,17,10,15,42,Germany,Germany,Germany,40893.0,81686611.0,53697948.0
2016,35,Thailand,2,2,2,6,Thailand,Thailand,Thailand,5709.0,70540795.0,50484864.0
2016,4,Russia,19,17,20,56,Russia,Russian Federation,Russian Federation,9425.0,144640716.0,100685440.0
2016,39,Azerbaijan,1,7,10,18,Azerbaijan,Azerbaijan,Azerbaijan,5381.0,9649341.0,6827112.0
2016,30,Kazakhstan,2,5,10,17,Kazakhstan,Kazakhstan,Kazakhstan,10338.0,18084169.0,11856858.0
2016,25,Greece,3,1,2,6,Greece,Greece,Greece,18100.0,10820883.0,6972557.0
2016,22,Colombia,3,2,3,8,Colombia,Colombia,Colombia,6228.0,46969940.0,32128090.0
2016,27,Denmark,2,6,7,15,Denmark,Denmark,Denmark,53308.0,5683483.0,3659047.0
2016,78,Austria,0,0,1,1,Austria,Austria,Austria,44179.0,8642699.0,5810894.0
2016,69,Grenada,0,1,0,1,Grenada,Grenada,Grenada,8380.0,114676.0,77484.0
2016,78,Trinidad and Tobago,0,0,1,1,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,18509.0,1349667.0,977025.0
2016,78,Estonia,0,0,1,1,Estonia,Estonia,Estonia,17405.0,1315407.0,856289.0
2016,54,Jordan,1,0,0,1,Jordan,Jordan,Jordan,4064.0,9544729.0,5905533.0
2016,65,Lithuania,0,1,3,4,Lithuania,Lithuania,Lithuania,13975.0,2911109.0,1936068.0
2016,77,Israel,0,0,2,2,Israel,Israel,Israel,37804.0,8380100.0,5090003.0
2016,75,Tunisia,0,0,3,3,Tunisia,Tunisia,Tunisia,3961.0,11402264.0,7790714.0
2016,54,Kosovo,1,0,0,1,Kosovo,Kosovo,Kosovo,3578.0,1788274.0,1189713.0
2016,40,Belarus,1,4,4,9,Belarus,Belarus,Belarus,5820.0,9461076.0,6577083.0
2016,42,Armenia,1,3,0,4,Armenia,Armenia,Armenia,3666.0,3004600.0,2072031.0
2016,33,Poland,2,3,6,11,Poland,Poland,Poland,12375.0,37986412.0,26409484.0
2016,35,Belgium,2,2,2,6,Belgium,Belgium,Belgium,41086.0,11274196.0,7310530.0
2016,78,Finland,0,0,1,1,Finland,Finland,Finland,42785.0,5479531.0,3475882.0
2016,69,Qatar,0,1,0,1,Qatar,Qatar,Qatar,66985.0,2344557.0,1992883.0
2016,54,Singapore,1,0,0,1,Singapore,Singapore,Singapore,54513.0,5535002.0,4334971.0
2016,54,Tajikistan,1,0,0,1,Tajikistan,Tajikistan,Tajikistan,970.0,8643840.0,5249679.0
2016,44,Ethiopia,1,2,5,8,Ethiopia,Ethiopia,Ethiopia,616.0,103867135.0,56309619.0
2016,67,Mongolia,0,1,1,2,Mongolia,Mongolia,Mongolia,3919.0,3026864.0,2016800.0
2016,69,Burundi,0,1,0,1,Burundi,Burundi,Burundi,262.0,11047580.0,5604766.0
2016,69,Niger,0,1,0,1,Niger,Niger,Niger,481.0,19939498.0,9643532.0
2016,54,Fiji,1,0,0,1,Fiji,Fiji,Fiji,5105.0,918578.0,598549.0
2016,16,Jamaica,6,3,2,11,Jamaica,Jamaica,Jamaica,5081.0,2802534.0,1967143.0
2016,66,Bulgaria,0,1,2,3,Bulgaria,Bulgaria,Bulgaria,6945.0,6984225.0,4601408.0
2016,67,India,0,1,1,2,India,India,India,1623.0,1328024498.0,871420269.0
2016,20,Canada,4,3,15,22,Canada,Canada,Canada,43550.0,35704498.0,24192340.0
2016,21,Uzbekistan,4,2,7,13,Uzbekistan,Uzbekistan,Uzbekistan,2785.0,30749346.0,20590719.0
2016,6,Japan,12,8,21,41,Japan,Japan,Japan,34930.0,127141000.0,76580356.0
2016,23,Switzerland,3,2,2,7,Switzerland,Switzerland,Switzerland,83813.0,8282396.0,5570098.0
2016,12,Hungary,8,3,4,15,Hungary,Hungary,Hungary,12715.0,9797755.0,6608866.0
2016,60,Malaysia,0,4,1,5,Malaysia,Malaysia,Malaysia,9700.0,31232798.0,21386602.0
2016,2,Great Britain,27,23,17,67,Great Britain,United Kingdom,United Kingdom,44890.0,65088000.0,41883749.0
2016,3,China,26,18,26,70,China,China,China,7937.0,1379860000.0,988372117.0
2016,13,Brazil,7,6,6,19,Brazil,Brazil,Brazil,8783.0,201675532.0,140448837.0
2016,31,Ukraine,2,5,4,11,Ukraine,Ukraine,Ukraine,2024.0,45784896.0,31942767.0
2016,14,Spain,7,4,6,17,Spain,Spain,Spain,25751.0,46422303.0,30852938.0
2016,29,South Africa,2,6,2,10,South Africa,South Africa,South Africa,6201.0,56723537.0,37620114.0
2016,28,Sweden,2,6,3,11,Sweden,Sweden,Sweden,51283.0,9799186.0,6169369.0
2016,10,Australia,8,11,10,29,Australia,Australia,Australia,52321.0,23815995.0,15765573.0
2016,32,Serbia,2,4,2,8,Serbia,Serbia,Serbia,5274.0,7095383.0,4737929.0
2016,18,Cuba,5,2,4,11,Cuba,Cuba,Cuba,7690.0,11275065.0,7791137.0
2016,17,Croatia,5,3,2,10,Croatia,Croatia,Croatia,11835.0,4151725.0,2746211.0
2016,47,Romania,1,1,2,4,Romania,Romania,Romania,8936.0,19815616.0,13302887.0
2016,26,Argentina,3,1,0,4,Argentina,Argentina,Argentina,14909.0,43477012.0,27860541.0
2016,78,Dominican Republic,0,0,1,1,Dominican Republic,Dominican Republic,Dominican Republic,6838.0,10434829.0,6789516.0
2016,19,New Zealand,4,9,5,18,New Zealand,New Zealand,New Zealand,38789.0,4609400.0,3022211.0
2020,33,Georgia,2,5,1,8,Georgia,Georgia,Georgia,4208.0,3722716.0,2386714.0
2020,19,Kenya,4,4,2,10,Kenya,Kenya,Kenya,1936.0,52217334.0,30247731.0
2020,56,Ethiopia,1,1,2,4,Ethiopia,Ethiopia,Ethiopia,824.0,118917671.0,67164933.0
2020,56,Portugal,1,1,2,4,Portugal,Portugal,Portugal,22240.0,10297081.0,6569496.0
2020,74,Nigeria,0,1,1,2,Nigeria,Nigeria,Nigeria,2064.0,213996181.0,115970850.0
2020,38,Ecuador,2,1,0,3,Ecuador,Ecuador,Ecuador,5645.0,17546065.0,11588191.0
2020,36,Uganda,2,1,1,4,Uganda,Uganda,Uganda,857.0,44457152.0,23435303.0
2020,72,Argentina,0,1,2,3,Argentina,Argentina,Argentina,8565.0,45191965.0,29152195.0
2020,59,Latvia,1,0,1,2,Latvia,Latvia,Latvia,18129.0,1900449.0,1203554.0
2020,59,Thailand,1,0,1,2,Thailand,Thailand,Thailand,7002.0,71641484.0,50818801.0
2020,84,Mexico,0,0,4,4,Mexico,Mexico,Mexico,8896.0,126799054.0,84358936.0
2020,55,Indonesia,1,1,3,5,Indonesia,Indonesia,Indonesia,3896.0,274814866.0,185658524.0
2020,72,San Marino,0,1,2,3,San Marino,San Marino,San Marino,45423.0,34770.0,23175.0
2020,53,Austria,1,1,5,7,Austria,Austria,Austria,48839.0,8916864.0,5924102.0
2020,86,Syria,0,0,1,1,Syria,Syrian Arab Republic,Syrian Arab Republic,836.0,21049429.0,12811514.0
2020,44,Ukraine,1,6,12,19,Ukraine,Ukraine,Ukraine,3567.0,44680014.0,30212748.0
2020,77,Saudi Arabia,0,1,0,1,Saudi Arabia,Saudi Arabia,Saudi Arabia,20398.0,31552510.0,22713541.0
2020,77,North Macedonia,0,1,0,1,North Macedonia,North Macedonia,North Macedonia,5855.0,1856124.0,1233245.0
2020,63,Bermuda,1,0,0,1,Bermuda,Bermuda,Bermuda,107560.0,64382.0,42935.0
2020,83,Kazakhstan,0,0,8,8,Kazakhstan,Kazakhstan,Kazakhstan,9014.0,19482117.0,12301140.0
2020,2,China,38,32,19,89,China,China,China,10308.0,1411100000.0,979302341.0
2020,10,Italy,10,10,20,40,Italy,Italy,Italy,31890.0,59438851.0,37918891.0
2020,9,Germany,10,11,16,37,Germany,Germany,Germany,46655.0,83160871.0,53550233.0
2020,77,Bahrain,0,1,0,1,Bahrain,Bahrain,Bahrain,23433.0,1472204.0,1131043.0
2020,77,Lithuania,0,1,0,1,Lithuania,Lithuania,Lithuania,20198.0,2810369.0,1825346.0
2020,77,Namibia,0,1,0,1,Namibia,Namibia,Namibia,4252.0,2728762.0,1617755.0
2020,50,Philippines,1,2,1,4,Philippines,Philippines,Philippines,3224.0,112081264.0,72395562.0
2020,52,South Africa,1,2,0,3,South Africa,South Africa,South Africa,5753.0,60562381.0,40511000.0
2020,4,Great Britain,22,20,22,64,Great Britain,United Kingdom,United Kingdom,40230.0,66744000.0,42334303.0
2020,26,Croatia,3,3,2,8,Croatia,Croatia,Croatia,14061.0,3914206.0,2500475.0
2020,11,Canada,7,7,10,24,Canada,Canada,Canada,43485.0,38028638.0,25151490.0
2020,28,Serbia,3,1,5,9,Serbia,Serbia,Serbia,7251.0,6899126.0,4427040.0
2020,8,France,10,12,11,33,France,France,France,39632.0,67601110.0,41786545.0
2020,6,Australia,17,7,22,46,Australia,Australia,Australia,56002.0,25649248.0,16698064.0
2020,48,India,1,2,4,7,India,India,India,1916.0,1402617695.0,943088901.0
2020,66,Colombia,0,4,1,5,Colombia,Colombia,Colombia,5302.0,50629997.0,35375771.0
2020,68,Dominican Republic,0,3,2,5,Dominican Republic,Dominican Republic,Dominican Republic,7168.0,11008300.0,7211256.0
2020,21,Jamaica,4,1,4,9,Jamaica,Jamaica,Jamaica,4897.0,2830739.0,2046447.0
2020,22,Spain,3,8,6,17,Spain,Spain,Spain,26985.0,47359424.0,31371298.0
2020,23,Sweden,3,6,0,9,Sweden,Sweden,Sweden,52759.0,10353442.0,6440267.0
2020,24,Switzerland,3,4,6,13,Switzerland,Switzerland,Switzerland,85893.0,8638167.0,5718170.0
2020,25,Denmark,3,4,4,11,Denmark,Denmark,Denmark,60897.0,5831404.0,3714181.0
2020,45,Belarus,1,3,3,7,Belarus,Belarus,Belarus,6370.0,9379952.0,6305149.0
2020,46,Romania,1,3,0,4,Romania,Romania,Romania,12929.0,19265250.0,12500209.0
2020,74,Malaysia,0,1,1,2,Malaysia,Malaysia,Malaysia,10161.0,33889558.0,23490230.0
2020,69,Armenia,0,2,2,4,Armenia,Armenia,Armenia,4506.0,2961500.0,1998643.0
2020,71,Mongolia,0,1,3,4,Mongolia,Mongolia,Mongolia,4041.0,3327204.0,2093738.0
2020,86,Ghana,0,0,1,1,Ghana,Ghana,Ghana,2177.0,31887809.0,18911651.0
2020,86,Grenada,0,0,1,1,Grenada,Grenada,Grenada,8438.0,116341.0,79244.0
2020,58,Tunisia,1,1,0,2,Tunisia,Tunisia,Tunisia,3498.0,11974057.0,7978898.0
2020,42,Kosovo,2,0,0,2,Kosovo,Kosovo,Kosovo,4630.0,1790151.0,1229453.0
2020,59,Fiji,1,0,1,2,Fiji,Fiji,Fiji,4816.0,914963.0,601201.0
2020,17,Poland,4,5,5,14,Poland,Poland,Poland,15599.0,37515748.0,24923647.0
2020,86,Kuwait,0,0,1,1,Kuwait,Kuwait,Kuwait,24298.0,4400267.0,3317123.0
2020,31,Slovenia,3,1,1,5,Slovenia,Slovenia,Slovenia,25375.0,2102419.0,1361114.0
2020,30,Bulgaria,3,1,2,6,Bulgaria,Bulgaria,Bulgaria,10059.0,6550696.0,4184680.0
2020,39,Ireland,2,0,2,4,Ireland,Ireland,Ireland,86656.0,5039747.0,3292799.0
2020,41,Qatar,2,0,1,3,Qatar,Qatar,Qatar,52316.0,2794148.0,2329067.0
2020,3,Japan,27,14,17,58,Japan,Japan,Japan,40311.0,126261000.0,74318579.0
2020,86,Botswana,0,0,1,1,Botswana,Botswana,Botswana,5863.0,2365894.0,1496080.0
2020,39,Israel,2,0,2,4,Israel,Israel,Israel,47015.0,9215100.0,5521012.0
2020,32,Uzbekistan,3,0,2,5,Uzbekistan,Uzbekistan,Uzbekistan,1796.0,33586372.0,21816256.0
2020,86,Burkina Faso,0,0,1,1,Burkina Faso,Burkina Faso,Burkina Faso,840.0,21478690.0,11466274.0
2020,20,Norway,4,2,2,8,Norway,Norway,Norway,68335.0,5379475.0,3499929.0
2020,85,Finland,0,0,2,2,Finland,Finland,Finland,49170.0,5529543.0,3419966.0
2020,12,Brazil,7,6,8,21,Brazil,Brazil,Brazil,6924.0,208660842.0,145321093.0
2020,13,New Zealand,7,6,7,20,New Zealand,New Zealand,New Zealand,41967.0,5090200.0,3326968.0
2020,14,Cuba,7,3,5,15,Cuba,Cuba,Cuba,9500.0,11176354.0,7658594.0
2020,29,Belgium,3,1,3,7,Belgium,Belgium,Belgium,45518.0,11538604.0,7381890.0
2020,36,Greece,2,1,1,4,Greece,Greece,Greece,17930.0,10698599.0,6786793.0
2020,74,Jordan,0,1,1,2,Jordan,Jordan,Jordan,3988.0,10865228.0,6873279.0
2020,59,Estonia,1,0,1,2,Estonia,Estonia,Estonia,23597.0,1329522.0,842406.0
2020,63,Morocco,1,0,0,1,Morocco,Morocco,Morocco,3308.0,36584208.0,24156677.0
